cpse,sector,local_code,description,material_family,manufacturer,manufacturer_part_no,uom
BEML,Heavy Engineering,BEML-HYDHOSE-12,HYDRAULIC HOSE 1/2 INCH 2 WIRE BRAID SAE100 R2AT WP 275 BAR,Hose,,,MTR
NLC,Mining,NLC-HOSE-R2-12,HYD HOSE 12MM SAE 100 R2AT DOUBLE WIRE BRAIDED,Hose,Gates,,M
NMDC,Mining,HOSE12R2,HOSE HYDRAULIC 1/2IN R2AT 2 STEEL WIRE BRAID,Hose,Parker,,Mtrs
NLC,Mining,NLC-CONV-1200,CONVEYOR BELT 1200MM 4PLY EP400 FIRE RESISTANT 8MM COVER,,,,MTR
NMDC,Mining,NMDC-LINER,MILL LINER RUBBER 60MM SHORE 60 FOR BALL MILL,,,,NOS
HAL,Heavy Engineering,HAL-ORING-214,O RING VITON 90 SHORE AS568-214 DASH 214,Seal,Parker,2-214,NOS
BEML,Heavy Engineering,BEML-OTRTYRE,OTR TYRE 27.00-49 58PR E4 ROCK FOR REAR DUMPER,,Bridgestone,,NOS
DVC,Power,DVC-CB-11KV,VACUUM CIRCUIT BREAKER 11KV 1250A 25KA INDOOR DRAWOUT,,,,NOS
OIL,Oil & Gas,OIL-VLV-BALL80,BALL VALVE 80NB CL150 FLOATING RF CS FULL BORE FIRE SAFE,Valve,Audco,,NOS
POWERGRID,Power,PG-DISC-INS,DISC INSULATOR 120KN PORCELAIN BALL & SOCKET IS731,,,,NOS
IOCL,Oil & Gas,1000121200,WELDING ELECTRODE 3.15MM E7018 LOW HYDROGEN AWS A5.1,,D&H Secheron,,KG
SAIL,Steel,SP-REFRACT-70,HIGH ALUMINA REFRACTORY BRICK 70% AL2O3 230X114X64,,,,NOS
NTPC,Power,16-62-0110,LED FLOOD LIGHT 150W 240V IP66 5700K DIE CAST ALUMINIUM,,Bajaj,,NOS
BHEL,Heavy Engineering,BHEL-VBELT-C112,V BELT C112 WRAPPED CLASSICAL INDUSTRIAL IS2494,,Fenner,C112,NOS
SAIL,Steel,SP-SPKT-16B,SPROCKET 16B-1 25 TEETH PILOT BORE HARDENED TEETH,,,,NOS
ONGC,Oil & Gas,MM-CHEM-MEOH,METHANOL 99.85 PCT TECHNICAL GRADE HYDRATE INHIBITOR BULK,,,,LTR
GAIL,Oil & Gas,MAT-0099120,ODORANT ETHYL MERCAPTAN FOR NATURAL GAS ODORISATION,,,,KG
NTPC,Power,13-91-0044,TURBINE OIL ISO VG 46 R&O MINERAL 210 LITRE BARREL,,Servo,,LTR
SAIL,Steel,SP-PAINT-RED,RED OXIDE ZINC CHROMATE PRIMER IS2074 20 LITRE,,,,LTR
IOCL,Oil & Gas,1000121999,ANODE MAGNESIUM 9 LB PACKAGED FOR CATHODIC PROTECTION,,,,NOS
POWERGRID,Power,PG-ACSR-MOOSE,ACSR CONDUCTOR MOOSE 528 SQMM 54/3.53 AL 7/3.53 STEEL,,,,KM
DVC,Power,DVC-BUSH-11KV,EPOXY BUSHING 12KV 630A INDOOR FOR SWITCHGEAR,,,,NOS
BEML,Heavy Engineering,BEML-FILTER-HYD,HYDRAULIC RETURN LINE FILTER ELEMENT 10 MICRON GLASSFIBRE,Filter,Hydac,0660R010BN4HC,NOS
CIL,Mining,CIL-DRILLBIT,TRICONE ROCK BIT 251MM IADC 537 SEALED BEARING TCI,,,,NOS
NMDC,Mining,NMDC-GRND-ENGG,GET ADAPTER & TOOTH POINT FOR EXCAVATOR BUCKET 20T CLASS,,,,SET
