code,name,symbol,quantity
B21,kelvin per watt,K/W,space & time
B22,kiloampere,kA,space & time
B23,kiloampere per square metre,kA/m²,space & time
B24,kiloampere per metre,kA/m,space & time
B25,kilobecquerel per kilogram,kBq/kg,space & time
B26,kilocoulomb,kC,space & time
B27,kilocoulomb per cubic metre,kC/m³,space & time
B28,kilocoulomb per square metre,kC/m²,space & time
B29,kiloelectronvolt,keV,space & time
B3,batting pound,,mechanics
B30,gibibit,Gibit,mechanics
B31,kilogram metre per second,kg·m/s,space & time
B32,kilogram metre squared,kg·m²,space & time
B33,kilogram metre squared per second,kg·m²/s,space & time
B34,kilogram per cubic decimetre,kg/dm³,space & time
B35,kilogram per litre,kg/l or kg/L,space & time
B4,"barrel, imperial",,mechanics
B41,kilojoule per kelvin,kJ/K,space & time
B42,kilojoule per kilogram,kJ/kg,space & time
B43,kilojoule per kilogram kelvin,kJ/(kg·K),space & time
B44,kilojoule per mole,kJ/mol,space & time
B45,kilomole,kmol,space & time
B46,kilomole per cubic metre,kmol/m³,space & time
B47,kilonewton,kN,space & time
B48,kilonewton metre,kN·m,space & time
B49,kiloohm,kΩ,space & time
B50,kiloohm metre,kΩ·m,space & time
B52,kilosecond,ks,space & time
B53,kilosiemens,kS,space & time
B54,kilosiemens per metre,kS/m,space & time
B55,kilovolt per metre,kV/m,space & time
B56,kiloweber per metre,kWb/m,space & time
B57,light year,ly,periodic & related phenomena
B58,litre per mole,l/mol,space & time
B59,lumen hour,lm·h,space & time
B60,lumen per square metre,lm/m²,space & time
B61,lumen per watt,lm/W,space & time
B62,lumen second,lm·s,space & time
B63,lux hour,lx·h,space & time
B64,lux second,lx·s,space & time
B66,megaampere per square metre,MA/m²,space & time
B67,megabecquerel per kilogram,MBq/kg,space & time
B68,gigabit,Gbit,mechanics
B69,megacoulomb per cubic metre,MC/m³,space & time
B7,cycle,,mechanics
B70,megacoulomb per square metre,MC/m²,space & time
B71,megaelectronvolt,MeV,space & time
B72,megagram per cubic metre,Mg/m³,space & time
B73,meganewton,MN,space & time
B74,meganewton metre,MN·m,space & time
B75,megaohm,MΩ,space & time
B76,megaohm metre,MΩ·m,space & time
B77,megasiemens per metre,MS/m,space & time
B78,megavolt,MV,space & time
B79,megavolt per metre,MV/m,space & time
B8,joule per cubic metre,J/m³,space & time
B80,gigabit per second,Gbit/s,mechanics
B81,reciprocal metre squared reciprocal second,m⁻²/s,space & time
B82,inch per linear foot,,mechanics
B83,metre to the fourth power,m⁴,space & time
B84,microampere,µA,space & time
B85,microbar,µbar,space & time
B86,microcoulomb,µC,space & time
B87,microcoulomb per cubic metre,µC/m³,space & time
B88,microcoulomb per square metre,µC/m²,space & time
B89,microfarad per metre,µF/m,space & time
B90,microhenry,µH,space & time
B91,microhenry per metre,µH/m,space & time
B92,micronewton,µN,space & time
B93,micronewton metre,µN·m,space & time
B94,microohm,µΩ,space & time
B95,microohm metre,µΩ·m,space & time
B96,micropascal,µPa,space & time
B97,microradian,µrad,space & time
B98,microsecond,µs,space & time
B99,microsiemens,µS,space & time
BAR,bar [unit of pressure],bar,space & time
BB,base box,,mechanics
BFT,board foot,fbm,mechanics
BHP,brake horse power,BHP,periodic & related phenomena
BIL,billion (EUR),,mechanics
BLD,dry barrel (US),bbl (US),periodic & related phenomena
BLL,barrel (US),barrel (US),periodic & related phenomena
BP,hundred board foot,,mechanics
BPM,beats per minute,BPM,mechanics
BQL,becquerel,Bq,space & time
BTU,British thermal unit (international table),BtuIT,periodic & related phenomena
BUA,bushel (US),bu (US),periodic & related phenomena
BUI,bushel (UK),bushel (UK),periodic & related phenomena
C0,call,,mechanics
C10,millifarad,mF,space & time
C11,milligal,mGal,space & time
C12,milligram per metre,mg/m,space & time
C13,milligray,mGy,space & time
C14,millihenry,mH,space & time
C15,millijoule,mJ,space & time
C16,millimetre per second,mm/s,space & time
C17,millimetre squared per second,mm²/s,space & time
C18,millimole,mmol,space & time
C19,mole per kilogram,mol/kg,space & time
C20,millinewton,mN,space & time
C21,kibibit,Kibit,mechanics
C22,millinewton per metre,mN/m,space & time
C23,milliohm metre,mΩ·m,space & time
C24,millipascal second,mPa·s,space & time
C25,milliradian,mrad,space & time
C26,millisecond,ms,space & time
C27,millisiemens,mS,space & time
C28,millisievert,mSv,space & time
C29,millitesla,mT,space & time
C3,microvolt per metre,µV/m,space & time
C30,millivolt per metre,mV/m,space & time
C31,milliwatt,mW,space & time
C32,milliwatt per square metre,mW/m²,space & time
C33,milliweber,mWb,space & time
C34,mole,mol,space & time
C35,mole per cubic decimetre,mol/dm³,space & time
C36,mole per cubic metre,mol/m³,space & time
C37,kilobit,kbit,mechanics
C38,mole per litre,mol/l,space & time
C39,nanoampere,nA,space & time
C40,nanocoulomb,nC,space & time
C41,nanofarad,nF,space & time
C42,nanofarad per metre,nF/m,space & time
C43,nanohenry,nH,space & time
C44,nanohenry per metre,nH/m,space & time
C45,nanometre,nm,space & time
C46,nanoohm metre,nΩ·m,space & time
C47,nanosecond,ns,space & time
C48,nanotesla,nT,space & time
C49,nanowatt,nW,space & time
C50,neper,Np,space & time
C51,neper per second,Np/s,space & time
C52,picometre,pm,space & time
C53,newton metre second,N·m·s,space & time
C54,newton metre squared per kilogram squared,N·m²/kg²,space & time
C55,newton per square metre,N/m²,space & time
C56,newton per square millimetre,N/mm²,space & time
C57,newton second,N·s,space & time
C58,newton second per metre,N·s/m,space & time
C59,octave,,space & time
C60,ohm centimetre,Ω·cm,space & time
C61,ohm metre,Ω·m,space & time
C62,one,1,space & time
C63,parsec,pc,space & time
C64,pascal per kelvin,Pa/K,space & time
C65,pascal second,Pa·s,space & time
C66,pascal second per cubic metre,Pa·s/m³,space & time
C67,pascal second per metre,Pa· s/m,space & time
C68,petajoule,PJ,space & time
C69,phon,,space & time
C7,centipoise,cP,periodic & related phenomena
C70,picoampere,pA,space & time
C71,picocoulomb,pC,space & time
C72,picofarad per metre,pF/m,space & time
C73,picohenry,pH,space & time
C74,kilobit per second,kbit/s,mechanics
C75,picowatt,pW,space & time
C76,picowatt per square metre,pW/m²,space & time
C78,pound-force,lbf,periodic & related phenomena
C79,kilovolt ampere hour,kVAh,mechanics
C8,millicoulomb per kilogram,mC/kg,space & time
C80,rad,rad,periodic & related phenomena
C81,radian,rad,space & time
C82,radian square metre per mole,rad·m²/mol,space & time
C83,radian square metre per kilogram,rad·m²/kg,space & time
C84,radian per metre,rad/m,space & time
C85,reciprocal angstrom,Å⁻¹,space & time
C86,reciprocal cubic metre,m⁻³,space & time
C87,reciprocal cubic metre per second,m⁻³/s,space & time
C88,reciprocal electron volt per cubic metre,eV⁻¹/m³,space & time
C89,reciprocal henry,H⁻¹,space & time
C9,coil group,,mechanics
C90,reciprocal joule per cubic metre,J⁻¹/m³,space & time
C91,reciprocal kelvin or kelvin to the power minus one,K⁻¹,space & time
C92,reciprocal metre,m⁻¹,space & time
C93,reciprocal square metre,m⁻²,space & time
C94,reciprocal minute,min⁻¹,space & time
C95,reciprocal mole,mol⁻¹,space & time
C96,reciprocal pascal or pascal to the power minus one,Pa⁻¹,space & time
C97,reciprocal second,s⁻¹,space & time
C99,reciprocal second per metre squared,s⁻¹/m²,space & time
CCT,carrying capacity in metric ton,,mechanics
CDL,candela,cd,space & time
CEL,degree Celsius,°C,space & time
CEN,hundred,,mechanics
CG,card,,mechanics
CGM,centigram,cg,space & time
CKG,coulomb per kilogram,C/kg,space & time
CLF,hundred leave,,mechanics
CLT,centilitre,cl,space & time
CMK,square centimetre,cm²,space & time
CMQ,cubic centimetre,cm³,space & time
CMT,centimetre,cm,space & time
CNP,hundred pack,,mechanics
CNT,cental (UK),,mechanics
COU,coulomb,C,space & time
CTG,content gram,,mechanics
CTM,metric carat,,mechanics
CTN,content ton (metric),,mechanics
CUR,curie,Ci,periodic & related phenomena
CWA,hundred pound (cwt) / hundred weight (US),cwt (US),periodic & related phenomena
CWI,hundred weight (UK),cwt (UK),periodic & related phenomena
D03,kilowatt hour per hour,kW·h/h,mechanics
D04,lot [unit of weight],,mechanics
D1,reciprocal second per steradian,s⁻¹/sr,space & time
D10,siemens per metre,S/m,space & time
D11,mebibit,Mibit,mechanics
D12,siemens square metre per mole,S·m²/mol,space & time
D13,sievert,Sv,space & time
D15,sone,,space & time
D16,square centimetre per erg,cm²/erg,periodic & related phenomena
D17,square centimetre per steradian erg,cm²/(sr·erg),periodic & related phenomena
D18,metre kelvin,m·K,space & time
D19,square metre kelvin per watt,m²·K/W,space & time
D2,reciprocal second per steradian metre squared,s⁻¹/(sr·m²),space & time
D20,square metre per joule,m²/J,space & time
D21,square metre per kilogram,m²/kg,space & time
D22,square metre per mole,m²/mol,space & time
D23,pen gram (protein),,mechanics
D24,square metre per steradian,m²/sr,space & time
D25,square metre per steradian joule,m²/(sr·J),space & time
D26,square metre per volt second,m²/(V·s),space & time
D27,steradian,sr,space & time
D29,terahertz,THz,space & time
D30,terajoule,TJ,space & time
D31,terawatt,TW,space & time
D32,terawatt hour,TW·h,space & time
D33,tesla,T,space & time
D34,tex,tex (g/km),mechanics
D36,megabit,Mbit,mechanics
D41,tonne per cubic metre,t/m³,space & time
D42,tropical year,y (tropical),periodic & related phenomena
D43,unified atomic mass unit,u,space & time
D44,var,var,space & time
D45,volt squared per kelvin squared,V²/K²,space & time
D46,volt - ampere,V·A,space & time
D47,volt per centimetre,V/cm,space & time
D48,volt per kelvin,V/K,space & time
D49,millivolt per kelvin,mV/K,space & time
D5,kilogram per square centimetre,kg/cm²,periodic & related phenomena
D50,volt per metre,V/m,space & time
D51,volt per millimetre,V/mm,space & time
D52,watt per kelvin,W/K,space & time
D53,watt per metre kelvin,W/(m·K),space & time
D54,watt per square metre,W/m²,space & time
D55,watt per square metre kelvin,W/(m²·K),space & time
D56,watt per square metre kelvin to the fourth power,W/(m²·K⁴),space & time
D57,watt per steradian,W/sr,space & time
D58,watt per steradian square metre,W/(sr·m²),space & time
D59,weber per metre,Wb/m,space & time
D6,roentgen per second,R/s,periodic & related phenomena
D60,weber per millimetre,Wb/mm,space & time
D61,minute [unit of angle],',space & time
D62,second [unit of angle],"""",space & time
D63,book,,mechanics
D65,round,,mechanics
D68,number of words,,mechanics
D69,inch to the fourth power,in⁴,periodic & related phenomena
D73,joule square metre,J·m²,space & time
D74,kilogram per mole,kg/mol,space & time
D77,megacoulomb,MC,space & time
D78,megajoule per second,MJ/s,mechanics
D80,microwatt,µW,space & time
D81,microtesla,µT,space & time
D82,microvolt,µV,space & time
D83,millinewton metre,mN·m,space & time
D85,microwatt per square metre,µW/m²,space & time
D86,millicoulomb,mC,space & time
D87,millimole per kilogram,mmol/kg,space & time
D88,millicoulomb per cubic metre,mC/m³,space & time
D89,millicoulomb per square metre,mC/m²,space & time
D91,rem,rem,periodic & related phenomena
D93,second per cubic metre,s/m³,space & time
D94,second per cubic metre radian,s/(rad·m³),space & time
D95,joule per gram,J/g,space & time
DAA,decare,daa,space & time
DAD,ten day,,mechanics
DAY,day,d,space & time
DB,dry pound,,mechanics
DD,degree [unit of angle],°,space & time
DEC,decade,,mechanics
DG,decigram,dg,space & time
DJ,decagram,dag,space & time
DLT,decilitre,dl,space & time
DMA,cubic decametre,dam³,space & time
DMK,square decimetre,dm²,space & time
DMO,standard kilolitre,,mechanics
DMQ,cubic decimetre,dm³,space & time
DMT,decimetre,dm,space & time
DN,decinewton metre,dN·m,space & time
DPC,dozen piece,,mechanics
DPR,dozen pair,,mechanics
DPT,displacement tonnage,,mechanics
DRA,dram (US),,mechanics
DRI,dram (UK),,mechanics
DRL,dozen roll,,mechanics
DT,dry ton,,mechanics
DTN,decitonne,dt or dtn,space & time
DWT,pennyweight,,mechanics
DZN,dozen,DOZ,mechanics
DZP,dozen pack,,mechanics
E01,newton per square centimetre,N/cm²,space & time
E07,megawatt hour per hour,MW·h/h,mechanics
E08,megawatt per hertz,MW/Hz,mechanics
E09,milliampere hour,mA·h,space & time
E10,degree day,deg da,mechanics
E12,mille,,mechanics
E14,kilocalorie (international table),kcalIT,periodic & related phenomena
E15,kilocalorie (thermochemical) per hour,kcalth/h,periodic & related phenomena
E16,million Btu(IT) per hour,BtuIT/h,mechanics
E17,cubic foot per second,ft³/s,mechanics
E18,tonne per hour,t/h,periodic & related phenomena
E19,ping,,mechanics
E20,megabit per second,Mbit/s,mechanics
E21,shares,,mechanics
E22,TEU,,mechanics
E23,tyre,,mechanics
E25,active unit,,mechanics
E27,dose,,mechanics
E28,air dry ton,,mechanics
E30,strand,,mechanics
E31,square metre per litre,m²/l,mechanics
E32,litre per hour,l/h,mechanics
E33,foot per thousand,,mechanics
E34,gigabyte,Gbyte,mechanics
E35,terabyte,Tbyte,mechanics
E36,petabyte,Pbyte,mechanics
E37,pixel,,mechanics
E38,megapixel,,mechanics
E39,dots per inch,dpi,mechanics
E4,gross kilogram,,mechanics
E40,part per hundred thousand,ppht,mechanics
E41,kilogram-force per square millimetre,kgf/mm²,periodic & related phenomena
E42,kilogram-force per square centimetre,kgf/cm²,periodic & related phenomena
E43,joule per square centimetre,J/cm²,space & time
E44,kilogram-force metre per square centimetre,kgf·m/cm²,mechanics
E45,milliohm,mΩ,space & time
E46,kilowatt hour per cubic metre,kW·h/m³,mechanics
E47,kilowatt hour per kelvin,kW·h/K,mechanics
E48,service unit,,mechanics
E49,working day,,mechanics
E50,accounting unit,,mechanics
E51,job,,mechanics
E52,run foot,,mechanics
E53,test,,mechanics
E54,trip,,mechanics
E55,use,,mechanics
E56,well,,mechanics
E57,zone,,mechanics
E58,exabit per second,Ebit/s,mechanics
E59,exbibyte,Eibyte,mechanics
E60,pebibyte,Pibyte,mechanics
E61,tebibyte,Tibyte,mechanics
E62,gibibyte,Gibyte,mechanics
E63,mebibyte,Mibyte,mechanics
E64,kibibyte,Kibyte,mechanics
E65,exbibit per metre,Eibit/m,mechanics
E66,exbibit per square metre,Eibit/m²,mechanics
E67,exbibit per cubic metre,Eibit/m³,mechanics
E68,gigabyte per second,Gbyte/s,mechanics
E69,gibibit per metre,Gibit/m,mechanics
E70,gibibit per square metre,Gibit/m²,mechanics
E71,gibibit per cubic metre,Gibit/m³,mechanics
E72,kibibit per metre,Kibit/m,mechanics
E73,kibibit per square metre,Kibit/m²,mechanics
E74,kibibit per cubic metre,Kibit/m³,mechanics
E75,mebibit per metre,Mibit/m,mechanics
E76,mebibit per square metre,Mibit/m²,mechanics
E77,mebibit per cubic metre,Mibit/m³,mechanics
E78,petabit,Pbit,mechanics
E79,petabit per second,Pbit/s,mechanics
E80,pebibit per metre,Pibit/m,mechanics
E81,pebibit per square metre,Pibit/m²,mechanics
E82,pebibit per cubic metre,Pibit/m³,mechanics
E83,terabit,Tbit,mechanics
E84,terabit per second,Tbit/s,mechanics
E85,tebibit per metre,Tibit/m,mechanics
E86,tebibit per cubic metre,Tibit/m³,mechanics
E87,tebibit per square metre,Tibit/m²,mechanics
E88,bit per metre,bit/m,mechanics
E89,bit per square metre,bit/m²,mechanics
E90,reciprocal centimetre,cm⁻¹,mechanics
E91,reciprocal day,d⁻¹,mechanics
E92,cubic decimetre per hour,dm³/h,space & time
E93,kilogram per hour,kg/h,space & time
E94,kilomole per second,kmol/s,space & time
E95,mole per second,mol/s,space & time
E96,degree per second,°/s,space & time
E97,millimetre per degree Celcius metre,mm/(°C·m),space & time
E98,degree Celsius per kelvin,°C/K,space & time
E99,hectopascal per bar,hPa/bar,space & time
EA,each,,mechanics
EB,electronic mail box,,mechanics
EQ,equivalent gallon,,mechanics
F01,bit per cubic metre,bit/m³,mechanics
F02,kelvin per kelvin,K/K,space & time
F03,kilopascal per bar,kPa/bar,space & time
F04,millibar per bar,mbar/bar,space & time
F05,megapascal per bar,MPa/bar,space & time
F06,poise per bar,P/bar,periodic & related phenomena
F07,pascal per bar,Pa/bar,space & time
F08,milliampere per inch,mA/in,periodic & related phenomena
F10,kelvin per hour,K/h,space & time
F11,kelvin per minute,K/min,space & time
F12,kelvin per second,K/s,space & time
F13,slug,slug,periodic & related phenomena
F14,gram per kelvin,g/K,space & time
F15,kilogram per kelvin,kg/K,space & time
F16,milligram per kelvin,mg/K,space & time
F17,pound-force per foot,lbf/ft,periodic & related phenomena
F18,kilogram square centimetre,kg·cm²,space & time
F19,kilogram square millimetre,kg·mm²,space & time
F20,pound inch squared,lb·in²,periodic & related phenomena
F21,pound-force inch,lbf·in,periodic & related phenomena
F22,pound-force foot per ampere,lbf·ft/A,periodic & related phenomena
F23,gram per cubic decimetre,g/dm³,space & time
F24,kilogram per kilomol,kg/kmol,space & time
F25,gram per hertz,g/Hz,space & time
F26,gram per day,g/d,space & time
F27,gram per hour,g/h,space & time
F28,gram per minute,g/min,space & time
F29,gram per second,g/s,space & time
F30,kilogram per day,kg/d,space & time
F31,kilogram per minute,kg/min,space & time
F32,milligram per day,mg/d,space & time
F33,milligram per minute,mg/min,space & time
F34,milligram per second,mg/s,space & time
F35,gram per day kelvin,g/(d·K),space & time
F36,gram per hour kelvin,g/(h·K),space & time
F37,gram per minute kelvin,g/(min·K),space & time
F38,gram per second kelvin,g/(s·K),space & time
F39,kilogram per day kelvin,kg/(d·K),space & time
F40,kilogram per hour kelvin,kg/(h·K),space & time
F41,kilogram per minute kelvin,kg/(min·K),space & time
F42,kilogram per second kelvin,kg/(s·K),space & time
F43,milligram per day kelvin,mg/(d·K),space & time
F44,milligram per hour kelvin,mg/(h·K),space & time
F45,milligram per minute kelvin,mg/(min·K),space & time
F46,milligram per second kelvin,mg/(s·K),space & time
F47,newton per millimetre,N/mm,space & time
F48,pound-force per inch,lbf/in,periodic & related phenomena
F49,rod [unit of distance],rd (US),periodic & related phenomena
F50,micrometre per kelvin,µm/K,space & time
F51,centimetre per kelvin,cm/K,space & time
F52,metre per kelvin,m/K,space & time
F53,millimetre per kelvin,mm/K,space & time
F54,milliohm per metre,mΩ/m,space & time
F55,ohm per mile (statute mile),Ω/mi,periodic & related phenomena
F56,ohm per kilometre,Ω/km,space & time
F57,milliampere per pound-force per square inch,mA/(lbf/in²),periodic & related phenomena
F58,reciprocal bar,1/bar,space & time
F59,milliampere per bar,mA/bar,space & time
F60,degree Celsius per bar,°C/bar,space & time
F61,kelvin per bar,K/bar,space & time
F62,gram per day bar,g/(d·bar),space & time
F63,gram per hour bar,g/(h·bar),space & time
F64,gram per minute bar,g/(min·bar),space & time
F65,gram per second bar,g/(s·bar),space & time
F66,kilogram per day bar,kg/(d·bar),space & time
F67,kilogram per hour bar,kg/(h·bar),space & time
F68,kilogram per minute bar,kg/(min·bar),space & time
F69,kilogram per second bar,kg/(s·bar),space & time
F70,milligram per day bar,mg/(d·bar),space & time
F71,milligram per hour bar,mg/(h·bar),space & time
F72,milligram per minute bar,mg/(min·bar),space & time
F73,milligram per second bar,mg/(s·bar),space & time
F74,gram per bar,g/bar,space & time
F75,milligram per bar,mg/bar,space & time
F76,milliampere per millimetre,mA/mm,space & time
F77,pascal second per kelvin,Pa.s/K,space & time
F78,inch of water,inH₂O,periodic & related phenomena
F79,inch of mercury,inHg,periodic & related phenomena
F80,water horse power,,periodic & related phenomena
F81,bar per kelvin,bar/K,space & time
F82,hectopascal per kelvin,hPa/K,space & time
F83,kilopascal per kelvin,kPa/K,space & time
F84,millibar per kelvin,mbar/K,space & time
F85,megapascal per kelvin,MPa/K,space & time
F86,poise per kelvin,P/K,periodic & related phenomena
F87,volt per litre minute,V/(l·min),space & time
F88,newton centimetre,N·cm,space & time
F89,newton metre per degree,Nm/°,space & time
F90,newton metre per ampere,N·m/A,space & time
F91,bar litre per second,bar·l/s,space & time
F92,bar cubic metre per second,bar·m³/s,space & time
F93,hectopascal litre per second,hPa·l/s,space & time
F94,hectopascal cubic metre per second,hPa·m³/s,space & time
F95,millibar litre per second,mbar·l/s,space & time
F96,millibar cubic metre per second,mbar·m³/s,space & time
F97,megapascal litre per second,MPa·l/s,space & time
F98,megapascal cubic metre per second,MPa·m³/s,space & time
F99,pascal litre per second,Pa·l/s,space & time
FAH,degree Fahrenheit,°F,periodic & related phenomena
FAR,farad,F,space & time
FBM,fibre metre,,mechanics
FC,thousand cubic foot,kft³,mechanics
FF,hundred cubic metre,,mechanics
FH,micromole,µmol,space & time
FIT,failures in time,FIT,mechanics
FL,flake ton,,mechanics
FOT,foot,ft,periodic & related phenomena
FP,pound per square foot,lb/ft²,periodic & related phenomena
